subset,condition,metric,n,mean,standard_deviation,ci_low,ci_high
benign,multi_turn,perplexity,10,2.0964874334,0.3818079137,1.8885682315,2.3323609495
benign,multi_turn,mean_first_8_token_logprob,10,-3.1894764349,2.5503031325,-4.6617297255,-1.6943445669
benign,multi_turn,mean_first_16_token_logprob,10,-2.2498354476,1.4778193234,-3.1187903054,-1.4048054437
benign,multi_turn,mean_first_32_token_logprob,10,-1.8517188391,1.0846687367,-2.4982039721,-1.2351230787
benign,multi_turn,mean_token_entropy,10,0.6433523051,0.1113913885,0.5798859907,0.7096908355
benign,multi_turn,mean_top1_top2_probability_margin,10,0.6845371806,0.0390086433,0.6618595524,0.7076966943
benign,multi_turn,continuation_token_count,10,620.1000000000,221.2682886352,483.7975000000,743.3050000000
benign,polite_multi_turn,mean_token_logprob,10,-0.7059366211,0.1527163622,-0.7969340739,-0.6204827534
benign,polite_multi_turn,geometric_mean_token_probability,10,0.4987352444,0.0736600968,0.4548533063,0.5408027187
benign,polite_multi_turn,perplexity,10,2.0475276229,0.3220869512,1.8703033727,2.2479198464
benign,polite_multi_turn,mean_first_8_token_logprob,10,-3.1510251432,2.3540632518,-4.5743442448,-1.8465147587
benign,polite_multi_turn,mean_first_16_token_logprob,10,-2.0761372865,1.2591620966,-2.8651247483,-1.3916179524
benign,polite_multi_turn,mean_first_32_token_logprob,10,-1.7030695133,0.8049990978,-2.1796364261,-1.2224556471
benign,polite_multi_turn,mean_token_entropy,10,0.6353386818,0.1224127448,0.5644500118,0.7085438707
benign,polite_multi_turn,mean_top1_top2_probability_margin,10,0.6870328549,0.0435820922,0.6618872048,0.7132612100
benign,polite_multi_turn,continuation_token_count,10,620.1000000000,221.2682886352,485.4000000000,744.0025000000
