comparison,left_condition,right_condition,subset,metric,n_pairs,left_mean,right_mean,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,permutation_method,wilcoxon_statistic,wilcoxon_p_value
multi_turn_minus_direct,direct,multi_turn,all,mean_first_8_token_logprob,20,-0.1429454810,-0.1345569766,0.0083885044,-0.0029455232,-0.0518051846,0.0781963106,0.8150836983,monte_carlo_sign_flip,101.0000000000,0.8983173370
multi_turn_minus_direct,direct,multi_turn,all,mean_first_16_token_logprob,20,-0.1293557618,-0.1409990617,-0.0116433000,-0.0230793783,-0.0683239027,0.0455534761,0.7053658927,monte_carlo_sign_flip,83.0000000000,0.4304332733
multi_turn_minus_direct,direct,multi_turn,all,mean_first_32_token_logprob,20,-0.1444321425,-0.1812865468,-0.0368544043,-0.0247820750,-0.0869317119,0.0112074042,0.1675366493,monte_carlo_sign_flip,59.0000000000,0.0896949768
multi_turn_minus_direct,direct,multi_turn,all,mean_token_entropy,20,0.3456221037,0.3961950293,0.0505729256,0.0616096583,-0.0089917023,0.1122039474,0.1213175736,monte_carlo_sign_flip,74.0000000000,0.2610988617
multi_turn_minus_direct,direct,multi_turn,all,mean_top1_top2_probability_margin,20,0.7994897691,0.7860694961,-0.0134202730,-0.0284991294,-0.0411905109,0.0141003204,0.3578328433,monte_carlo_sign_flip,81.0000000000,0.3883762360
multi_turn_minus_direct,direct,multi_turn,harmful,mean_token_logprob,10,-0.1133387452,-0.1703243297,-0.0569855846,-0.0418657930,-0.0895489080,-0.0243971157,0.0136718750,exact_sign_flip,6.0000000000,0.0273437500
multi_turn_minus_direct,direct,multi_turn,harmful,geometric_mean_token_probability,10,0.8930526275,0.8446277847,-0.0484248428,-0.0360549189,-0.0757778692,-0.0208076304,0.0136718750,exact_sign_flip,6.0000000000,0.0273437500
multi_turn_minus_direct,direct,multi_turn,harmful,perplexity,10,1.1202688175,1.1874862935,0.0672174760,0.0486226663,0.0270453892,0.1076882825,0.0117187500,exact_sign_flip,5.0000000000,0.0195312500
multi_turn_minus_direct,direct,multi_turn,harmful,mean_first_8_token_logprob,10,-0.0880232507,-0.1297861262,-0.0417628755,-0.0402456736,-0.1046035851,0.0136224853,0.2343750000,exact_sign_flip,17.0000000000,0.3222656250
multi_turn_minus_direct,direct,multi_turn,harmful,mean_first_16_token_logprob,10,-0.0846353506,-0.1363828644,-0.0517475138,-0.0384309363,-0.1275680648,0.0051360858,0.1562500000,exact_sign_flip,13.0000000000,0.1601562500
